title,company_name,location,contract_type,remote,salary,experience_min,management,competences,published_date
Data Manager,SERVICE DEPARTEMENTAL D'INCENDIE ET DE SECOURS,"95 AV HENRI JAUBERT, Digne-les-Bains (Alpes-de-Hte-Provence (04))",Emploi permanent - vacance d'emploi (ouvert aux contractuels),non,,,False,"['Maîtrise des outils de gestion de bases de données (SQL, PostgreSQL, Oracle, etc.)', 'Connaissances des outils d’intégration (ETL, API, connecteurs, webservices)', 'Pratique des outils de datavisualisation (Power BI, Tableau, Data Studio ou équivalents)', 'Langages d’analyse (Python)', 'Cybersécurité et protection des données', 'Extraction et exploitation de données', 'Création de rapports']",2025-12-16
CHEF DE PROJET DONNÉES (F/H),SYTRAL MOBILITES,"21 boulevard Marius Vivier Merle, 69003 Lyon, Rhône (69)",Emploi permanent - création d'emploi,partiel,,5.0,True,"['Pilotage de projets SI', 'Gouvernance des données', 'Architecture de gestion de la donnée', 'Modélisation et analyse de données', 'Communication avec différents publics', 'Veille métiers et technologies', 'Gestion de plateforme data (Microsoft Fabric)']",2025-12-08
Administrateur Data et CRM,ETABLISSEMENT PUBLIC DU MUSEE DU LOUVRE,"34 Quai François MITTERRAND, Paris",Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,,,False,"['Gestion et gouvernance de base de données', 'Systèmes de gestion de bases de données clients (CRM)', 'Outils de CRM et plateformes marketing', 'Analyse d’audience et de navigation', 'Maîtrise des outils bureautiques (Excel avancé)', 'Sens de l’organisation et rigueur', 'Autonomie et adaptation rapide', 'Aisance rédactionnelle']",2025-12-15
Technicien du service DATA et SIG,COMMUNAUTE DE COMMUNES DE LA VALLÉE DORÉE,"1 RUE DE NOGENT, Laigneville (Oise (60))",Emploi permanent - vacance d'emploi,,,,False,"[""Connaissance approfondie des Systèmes d'Information Géographique (SIG)"", 'Gestion de bases de données géographiques', ""Maîtrise de l'outil informatique"", 'Analyse de données', ""Utilisation d'appareils de mesure topographique"", 'Sens du relationnel', ""Rigueur et sens de l'organisation"", 'Autonomie']",2025-12-13
Chef(fe) du service valorisation de la donnée,SDIS des Yvelines,"56 avenue de Saint Cloud, Versailles (Yvelines (78))",Emploi permanent - vacance d'emploi,,Statutaire + régime indemnitaire (IFSE) + prime annuelle (CIA),5.0,True,"['Maîtrise des outils bureautiques (tableur, base de données)', 'Logiciels de data-visualisation et requêtes (Qlik View, Qlik Sense, Business Object)', 'Analyse, synthèse et restitution de l’information', 'Encadrement d’équipe', 'Contrôle de gestion', ""Fonctionnement d'un SDIS"", 'Comptabilité analytique', 'Pilotage et aide à la décision']",2025-12-22
Gestionnaire de données et bilans (h/f),Syndicat interdépartemental pour l'assainissement de l'agglomération parisienne (SIAAP),Maisons-Laffitte (Yvelines (78)),Emploi permanent - vacance d'emploi / Contrat dérogatoire (≤ 2 ans),partiel,,,False,"[""Connaissances des procédés de traitement de l'eau"", 'Sens de la rigueur', 'Sens du contact', ""Esprit d'initiative et d'analyse"", ""Maîtrise de l'outil informatique (bureautique et système de supervision)""]",2025-11-07
Chargé d’analyse de données et de reporting,SYTRAL MOBILITES,"21 BOULEVARD VIVIER MERLE, Lyon (Rhône (69))",Emploi permanent - création d'emploi,,,5.0,False,"['Analyse de données', 'Reporting', 'Gestion de projets complexes', 'Connaissance des outils SI (billettique, comptage, SAE)', 'Maîtrise des outils informatiques (Excel, PowerPoint, etc.)', 'Négociation et défense des intérêts de la collectivité', 'Animation de réunions', 'Rédaction de documents techniques']",2025-12-29
Chargé(e) du contrôle et de la gestion des données,Syndicat mixte collecte déchets (Syndicat du Bois de l'Aumône),Riom (Puy-de-Dôme (63)),Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,Barème des traitements des fonctionnaires (RIFSEEP),,False,"['Maîtrise des outils bureautiques (Pack Office, Internet)', 'Gestion de bases de données (Oracle, Access)', 'Outils de reporting (Business Objects, Crystal Report)', 'Outils de traitement géographique (ArcGIS, QGIS)', ""Administration de systèmes d'information"", 'Méthodes et normes ITIL', 'Connaissance des réglementations informatiques et CNIL', 'Capacité à former des utilisateurs', 'Esprit de synthèse et rédactionnel', 'Permis VL']",2025-12-24
UN ANALYSTE D’EXPLOITATION INFORMATIQUE (H/F),Conseil départemental du Vaucluse,"13 Route de Lyon, Avignon (Vaucluse (84))",Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,,,False,"['exploitation avancée des environnements serveurs Windows et Linux', 'bonnes pratiques d’exploitation de serveurs virtualisés (VMware)', 'maîtrise d’Active Directory', 'ordonnanceur (ex. Visual TOM)', 'sauvegarde (ex. Commvault)', 'supervision (ex. EV Observe)', 'langages de scripting (Shell, PowerShell)', 'serveurs d’applications, web et conteneurisation (Apache/Tomcat, NGINX, Docker, IIS)', 'bases de données (Oracle, MySQL, MariaDB, PostgreSQL, SQL Server)', 'méthodologies ITIL', 'normes de sécurité et bonnes pratiques d’exploitation']",2025-12-22
"Chargé de la mission Data, simplification, innovation, qualité de vie au travail (h/f)",Département des Hauts-de-Seine,"14 Rue Hoche, Puteaux (Hauts-de-Seine (92))",Emploi permanent - création d'emploi,,,,True,"['SQL', 'Python', 'Power BI', 'Big Data', 'Gestion de projet (Agile, Scrum)', 'Architectures data (bases de données, ETL, cloud)', 'Développement applicatif', 'Innovation publique', 'Transformation numérique']",2025-12-05
Chargé d'études : Data Analyst (h/f),Syndicat des eaux d'Ile-de-France (SEDIF),"79, boulevard Saint-Germain, Paris",CDD 3 ans (renouvelable),partiel,,,False,"['Power BI', 'QlikView', 'ArcGIS', 'QGIS', 'FME', 'SQL', 'Python', 'PostgreSQL', 'Géomatique', 'Data Management', 'SIG']",2025-12-30
DATA ANALYSTE,COLLECTIVITE TERRITORIALE DE MARTINIQUE,"RUE GASTON DEFFERRE, Fort-de-France (Martinique (972))",Emploi permanent - vacance d'emploi,,,,False,"[""Maîtrise des techniques statistiques et méthodes d'analyse quantitative et qualitative"", ""Maîtrise des logiciels de traitement et d'analyse de données"", 'Maîtrise des outils bureautiques et collaboratifs', 'Connaissances du RGPD', 'Connaissances du fonctionnement des Collectivités territoriales', 'Travail en transversalité', 'Conception et organisation de bases de données', ""Rédaction d'avis et rapports d'aide à la décision"", ""Réalisation d'études techniques et économiques"", 'Rigueur', ""Sens de l'organisation et de l'initiative"", ""Sens d'analyse"", 'Esprit de synthèse']",2025-12-15
ANALYSTE DES DONNEES,Communauté d'Agglomération Melun Val de Seine,Dammarie-les-Lys (Seine-et-Marne (77)),Emploi permanent - création d'emploi,partiel,,,False,"['SQL', 'OpenData', 'SIG (Mapinfo, GEO, QGIS, pgAdmin)', 'Data visualisation (PowerBI, Opendatasoft)', 'Analyse statistique et spatiale', 'Bureautique (Excel, Access)', 'Gestion de bases de données', 'HTML/CSS/PHP (notions)', 'Administration de plateforme OpenData (OpenDataSoft, Koumoul)']",2025-11-13
Analyste de données (H/F),Service Départemental d'Incendie et de Secours de Val-d'Oise (SDIS 95),"33 Rue des Moulines, Neuville-sur-Oise (Val-d'Oise (95))",CDD 36 mois renouvelable,partiel,Selon grilles indiciaires du grade et régime indemnitaire du poste,,False,"['Maîtrise d’outils de visualisation de données (Power BI et BO)', 'Excel avancé', 'Langage SQL', 'Capacité d’analyse et de synthèse', 'Rigueur et sens de l’organisation', 'Qualités rédactionnelles et relationnelles', 'Vulgarisation des résultats']",2025-12-17
Rédacteur ou technicien en charge du déploiement de l'intelligence artificielle,Communauté de communes de Montesquieu,"1 allée Jean Rostand, Martillac (Gironde (33))",Emploi permanent - création d'emploi,,rémunération statutaire et avantages sociaux,,False,"['Maîtrise du fonctionnement et de l’organisation des collectivités territoriales', 'Connaissance des enjeux de l’IA', 'Maîtrise du cadre juridique', 'Conduite de projets', 'Travail en transversalité et en mode projet', 'Vulgarisation des concepts techniques', 'Accompagnement au changement']",2025-12-26
CONTRÔLEUR DE GESTION - ANALYSTE DE DONNÉES (F/H),Communauté Urbaine Caen La Mer,"16 rue Rosa Parks - CS 52700, Caen (Calvados (14))",Emploi permanent - vacance d'emploi,partiel,,,False,"['Contrôle de gestion', 'Analyse financière', 'Data visualisation (Power BI)', 'Comptabilité publique et privée', 'Analyse des coûts', 'Évaluation de la performance', 'Maîtrise des bases de données', 'Pédagogie et synthèse']",2025-12-22
Chargé de mission data et administrateur applicatif,MONTPELLIER MEDITERRANEE METROPOLE,"50 place Zeus, Montpellier (Hérault (34))",Emploi permanent - vacance d'emploi (contractuel possible),,,,False,"['Big Data', ""Outils d'analyse (Excel, BI, SAS, Python, Tableau/PowerBI, DigDash)"", 'Gestion de projets', 'Méthodologie Agile', 'RGPD', 'Conduite du changement', 'Veille technologique', 'Analyse de données', 'Reporting']",2026-01-06
"Référente en charge de la Gouvernance des Données, de la Mutualisation et du Développement Coopératif",COMMUNAUTE DE COMMUNES DU CANTON D'ERSTEIN,"1 rue des 11 communes - BP 50057, Benfeld (Bas-Rhin (67))",Emploi permanent - création d'emploi,,,,True,"['Gouvernance des données', 'RGPD/DPO', 'Mutualisation de services', 'Veille réglementaire', 'Coordination de projets', 'Rédaction de rapports', 'Gestion administrative']",2025-12-31
Administrateur de bases de données et système décisionnel,CONSEIL DEPARTEMENTAL DE LA VIENNE,Poitiers (Vienne),CDD (remplacement),partiel,,2.0,False,"['Maîtrise des SGBD (Oracle, SQL Server, PostgreSQL, etc.)', 'Langage SQL', 'Environnement Linux', 'Langages de script (Python)', 'Outils ETL/BI (Business Objects, BODS)', 'Gestion de projet (Agile, cycle en V)']",2025-12-19
Chef de projet IA et DATA (F/H),CONSEIL DEPARTEMENTAL DE LA SEINE MARITIME,"QUAI JEAN MOULIN, Rouen (Seine-Maritime (76))",Emploi permanent - vacance d'emploi,partiel,,,True,"['Pilotage de projets complexes', 'Maîtrise des fondamentaux de la data (modélisation, qualité, gouvernance, sécurité)', 'Maîtrise des architectures Data & Analytics', 'Maîtrise des concepts IA/ML (cas d’usage, modèles, Machine Learning)', 'Conformité réglementaire (RGPD, HDS)', 'Maîtrise des outils DELIBIA, COPILOT, PRISME AI', 'Excellente communication et leadership transversal']",2025-12-19
Data Manager,SERVICE DEPARTEMENTAL D'INCENDIE ET DE SECOURS,"95 AV HENRI JAUBERT, Digne-les-Bains (Alpes-de-Hte-Provence (04))",Emploi permanent - vacance d'emploi (ouvert aux contractuels),non,,,False,"['Maîtrise des outils de gestion de bases de données (SQL, PostgreSQL, Oracle, etc.)', 'Connaissances des outils d’intégration (ETL, API, connecteurs, webservices)', 'Pratique des outils de datavisualisation (Power BI, Tableau, Data Studio ou équivalents)', 'Langages d’analyse (Python)', 'Sensibilité aux enjeux de cybersécurité et de protection des données', 'Extraction et exploitation de données', 'Création de rapports']",2025-12-16
CHEF DE PROJET DONNÉES (F/H),SYTRAL MOBILITES,"21 boulevard Marius Vivier Merle, 69003 Lyon, Rhône (69)",Emploi permanent - création d'emploi,partiel,,5.0,True,"['Pilotage de projets SI', 'Gouvernance des données', 'Architecture de gestion de la donnée', 'Cartographie des données et flux métiers', 'Veille métiers et technologies', 'Communication avec différents publics', 'Modélisation et analyse', 'Microsoft Fabric']",2025-12-08
Administrateur Data et CRM,ETABLISSEMENT PUBLIC DU MUSEE DU LOUVRE,"34 Quai François MITTERRAND, Paris",Emploi permanent - vacance d'emploi,partiel,,,False,"['Gestion et gouvernance de base de données', 'Systèmes de gestion de bases de données clients', 'Outils de CRM', 'Plateformes marketing', 'Analyse d’audience et de navigation', 'Excel (fonctions expertes)', 'RGPD']",2025-12-15
Technicien du service DATA et SIG,COMMUNAUTE DE COMMUNES DE LA VALLÉE DORÉE,"1 RUE DE NOGENT, Laigneville (Oise (60))",Emploi permanent - vacance d'emploi,,,,False,"[""Connaissance approfondie des Systèmes d'Information Géographique (SIG)"", 'Gestion de bases de données géographiques', ""Maîtrise de l'outil informatique"", 'Analyse de données', ""Utilisation d'appareils de mesure topographique"", 'Sens du relationnel', ""Rigueur et sens de l'organisation""]",2025-12-13
Chef(fe) du service valorisation de la donnée,SDIS des Yvelines,"56 avenue de Saint Cloud, Versailles (Yvelines (78))",Emploi permanent - vacance d'emploi,,Statutaire + régime indemnitaire (IFSE) + prime annuelle (CIA),5.0,True,"['Maîtrise des outils bureautiques (tableur, base de données)', 'Logiciels de data-visualisation et requêtes (Qlik View, Qlik Sense, Business Object)', 'Analyse, synthèse et restitution de l’information', 'Encadrement d’équipe', 'Contrôle de gestion', ""Fonctionnement d'un SDIS"", 'Comptabilité analytique', 'Pilotage et aide à la décision']",2025-12-22
Gestionnaire de données et bilans (h/f),Syndicat interdépartemental pour l'assainissement de l'agglomération parisienne (SIAAP),Maisons-Laffitte (Yvelines (78)),Emploi permanent - vacance d'emploi / Contractuel (dérogatoire),partiel,,,False,"[""Connaissances des procédés de traitement de l'eau"", 'Sens de la rigueur', 'Sens du contact', ""Esprit d'initiative et d'analyse"", ""Maîtrise de l'outil informatique (bureautique et système de supervision)""]",2025-11-07
Chargé d’analyse de données et de reporting,SYTRAL MOBILITES,"21 BOULEVARD VIVIER MERLE, Lyon (Rhône (69))",Emploi permanent - création d'emploi,,,5.0,False,"['Analyse de données', 'Reporting', 'Gestion de projets complexes', 'Connaissance des outils SI (billettique, comptage, SAE)', 'Maîtrise des outils informatiques (Excel, PowerPoint, etc.)', 'Négociation', 'Rédaction de procédures et documents']",2025-12-29
Chargé(e) du contrôle et de la gestion des données,Syndicat mixte collecte déchets (Syndicat du Bois de l'Aumône),Riom (Puy-de-Dôme (63)),Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,Barème des traitements des fonctionnaires (RIFSEEP),,False,"['Maîtrise des outils bureautiques (Pack Office, Internet)', 'Gestion de bases de données (Oracle, Access)', 'Outils de reporting (Business Objects, Crystal Report)', 'Outils de traitement géographique (ArcGIS, QGIS)', ""Administration de systèmes d'information"", 'Méthodes et normes ITIL', 'Connaissance des réglementations informatiques et CNIL', 'Capacité à former des utilisateurs', 'Esprit de synthèse et rédactionnel', 'Permis VL']",2025-12-24
UN ANALYSTE D’EXPLOITATION INFORMATIQUE (H/F),Conseil départemental du Vaucluse,"13 Route de Lyon, Avignon (Vaucluse (84))",Emploi permanent - vacance d'emploi (ouvert aux contractuels),partiel,,,False,"['Exploitation avancée des environnements serveurs Windows et Linux', 'Bonnes pratiques d’exploitation de serveurs virtualisés (VMware)', 'Maîtrise d’Active Directory', 'Ordonnanceur (ex. Visual TOM)', 'Sauvegarde (ex. Commvault)', 'Supervision (ex. EV Observe)', 'Langages de scripting (Shell, PowerShell)', 'Serveurs d’applications, web et conteneurisation (Apache/Tomcat, NGINX, Docker, IIS)', 'Bases de données (Oracle, MySQL, MariaDB, PostgreSQL, SQL Server)', 'Méthodologies ITIL et normes de sécurité']",2025-12-22
"Chargé de la mission Data, simplification, innovation, qualité de vie au travail (h/f)",Département des Hauts-de-Seine,"14 Rue Hoche, Puteaux (Hauts-de-Seine (92))",Emploi permanent - création d'emploi,non,,,True,"['SQL', 'Python', 'Power BI', 'Big Data', 'Gestion de projet (Agile, Scrum)', 'Architectures data (bases de données, ETL, cloud)', 'Développement applicatif', 'Innovation publique', 'Transformation numérique']",2025-12-05
Analyste développeur (h/f),Conseil départemental de la marne,"2 bis rue de jessaint - CS 30454, Châlons-en-Champagne (Marne (51))",Emploi permanent - vacance d'emploi,partiel,,,False,"['PHP/Symfony', 'API', 'Bases de données', 'Outils web', 'Documentation et qualité logicielle', 'Méthodologie et rigueur', 'Travail en équipe']",2026-01-05
JURISTE PROTECTION DES DONNÉES / TECHNOLOGIE DE L'INFORMATION / PROPRIÉTÉ INTELLECTUELLE (F/H),SYTRAL MOBILITES,"21 boulevard Marius Vivier Merle, 69003 Lyon, Rhône (69)",Emploi permanent - création d'emploi,partiel,,2.0,False,"['Droit du numérique', 'RGPD et protection des données', ""Droit des technologies de l'information (IT)"", 'Propriété intellectuelle', 'Cybersécurité', 'Gestion des risques', 'Rédaction de contrats', 'Veille réglementaire']",2025-12-09
"CHEF DU SERVICE CONTRATS, PROCESS & DATA (F/H)",SYTRAL MOBILITES,"21 boulevard Marius Vivier Merle, 69003 Lyon, France",Emploi permanent - création d'emploi,partiel,,10.0,True,"['Gestion de contrats complexes (DSP, PPP)', ""Pilotage d'équipe (catégorie A)"", 'Connaissance des transports publics', 'Contrôle de gestion et reporting', 'Travail en transversalité et mode projet', 'Connaissance des collectivités territoriales', 'Outils SI métier (billettique, comptage, SAE)']",2025-12-08
"Chargé de la mission Data, simplification, innovation, qualité de vie au travail (h/f)",Département des Hauts-de-Seine,"14 Rue Hoche, Puteaux (Hauts-de-Seine (92))",Emploi permanent - création d'emploi (contractuel possible à titre dérogatoire),,,,False,"['SQL', 'Python', 'Power BI', 'Big Data', 'Gestion de projet (Agile, Scrum)', 'Architectures data (bases de données, ETL, cloud)', 'Développement applicatif', 'Innovation publique', 'Transformation numérique']",2025-12-01
Responsable de l’ingénierie fonctionnelle de la donnée,Valence Romans Agglo,"Espace Jacques Brel, 1, Place Jacques Brel, Valence (Drôme (26))",Emploi permanent - création d'emploi,,,,True,"['Gestion et structuration de données', 'Gouvernance des données', 'Analyse de données', 'Outils OpenSource (Kestra, Ducklake, OpenMetaData, Superset, Qlik Sense)', 'ETL/ELT', 'Datavisualisation', 'Formation et sensibilisation des utilisateurs', 'Culture de la donnée']",2025-12-12
Délégué à la Protection des Données (H/F),LE DEPARTEMENT DU TARN,"35 Lices Georges Pompidou, Albi (Tarn (81))",Emploi permanent - vacance d'emploi,,,,True,"['Pilotage de projets stratégiques', 'Expertise juridique (RGPD, veille réglementaire)', ""Culture et maîtrise des systèmes d'information"", 'Qualités rédactionnelles', 'Organisation et procédures', 'Animation de réunions collaboratives', 'Développement de réseaux partenariaux', 'Rigueur, autonomie et réactivité', 'Coopération interservices et transversalité', 'Aisance relationnelle']",2025-12-04
Chef de Projet Système d'Information Décisionnel (h/f),CONSEIL DEPARTEMENTAL DE L'ARDECHE,"La Chaumette BP 737, Privas (Ardèche (07))",Emploi permanent - vacance d'emploi,,,,True,"[""Expertise des techniques, normes, référentiels et outils liés à un système d'information décisionnel"", ""Maîtrise des outils de stockage (Data Warehouse), d'extraction (ETL) et de datavisualisation (DigDash, Power BI, BO, ...)"", ""Langage SQL, formats XML, JSON et interrogations d'API Rest"", 'Bases de données (PostgreSQL, Oracle, SQL Server)', 'Langage de programmation (Python)', 'Pilotage de projets stratégiques', 'Analyse des besoins métiers et fonctionnels', 'Accompagnement du changement']",2025-12-11
Ingénieur Bases de données,Service Départemental d'Incendie et de Secours de l'Hérault (SDIS 34),Vailhauquès (Hérault (34)),Emploi permanent - vacance d'emploi (ouvert aux contractuels),,Traitement de base + astreintes + primes + avantages sociaux,,False,"['Diplôme niveau ingénieur informatique ou équivalent', 'Expérience en gestion des bases de données', 'Connaissance et maîtrise des ETL', 'Connaissances des environnements O365 (PowerApps), Oracle, MySQL', 'Autonomie et grande disponibilité', 'Qualités relationnelles', 'Connaissance du milieu sapeur-pompier (appréciée)']",2026-01-05
Chargé ou chargée de projets systèmes d'information solidarités,CONSEIL DEPARTEMENTAL DE LOIRE-ATLANTIQUE,"NANTES, Loire-Atlantique (44)",CDD,partiel,,,False,"['Culture informatique', 'Outils bureautiques', 'Business Objects', 'Conduite de projets', 'Autonomie', 'Pédagogie', 'Travail en équipe', 'Animation de groupes de travail']",2026-01-05
Chef de projet pilotage et valorisation des données (F/H),Métropole du Grand Nancy,"22/24 Viaduc Kennedy, Nancy (Meurthe-et-Moselle (54))",Emploi permanent - vacance d'emploi,partiel,,,True,"['Gestion des données', 'Pilotage de projets transverses', 'Contrôle de gestion', 'Analyse des risques', ""Déploiement d'outils financiers"", ""Coordination d'interlocuteurs"", 'Formalisation de méthodes et procédures']",2025-12-08
Chargé de projet outils et données d'exploitation,Île-de-France Mobilités,"39 bis-41 rue de Châteaudun, Paris",Emploi permanent - création d'emploi,partiel,,1.0,False,"['Connaissance des outils bureautiques et reporting/BI', 'Conception d’une offre de transport (dont graphicage)', 'Procédure de marchés publics', 'Connaissance des workflows, droits d’accès, référentiels', 'Connaissance technique systèmes d’information (architecture, interfaces, script)', 'Connaissance des bases de données, SIG', 'Analyser des données multiples', 'Capacités rédactionnelles et de synthèse', 'Comprendre les besoins des utilisateurs et les traduire en paramétrage d’outils', 'Capacité à travailler en mode projet', 'Savoir faire des tests fonctionnels', 'Communication, pédagogie', 'Argumenter et structurer son propos', 'Curiosité, rigueur et organisation', 'Travail en transversalité avec d’autres équipes']",2025-12-17
Chargé de projet outils et données d'exploitation,Île-de-France Mobilités,"39 bis-41 rue de Châteaudun, Paris",Emploi permanent - création d'emploi,partiel,,1.0,False,"['Connaissance des outils bureautiques et reporting/BI', 'Conception d’une offre de transport (dont graphicage)', 'Procédure de marchés publics', 'Connaissance des workflows, droits d’accès, référentiels', 'Connaissance technique systèmes d’information (architecture, interfaces, script)', 'Connaissance des bases de données, SIG', 'Analyser des données multiples', 'Capacités rédactionnelles et de synthèse', 'Comprendre les besoins des utilisateurs et les traduire en paramétrage d’outils', 'Capacité à travailler en mode projet', 'Savoir faire des tests fonctionnels', 'Communication, pédagogie', 'Argumenter et structurer son propos', 'Curiosité, rigueur et organisation', 'Travail en transversalité avec d’autres équipes']",2025-12-17
Chargé de mission gouvernance et analyse des données (h/f),AGENCE NATIONALE DE L'HABITAT,"8 Avenue de l'Opéra, Paris",Emploi permanent - vacance d'emploi,,,,False,"['manipulation/traitement de données', ""maîtrise des principaux outils d'analyse"", 'connaissance du secteur du logement', ""capacité d'adaptation"", 'autonomie']",2025-12-15
Gestionnaire bases de données et documentation patrimoniale H/F,Conseil départemental des Yvelines,"2 Avenue de Lunca, Montigny-le-Bretonneux (Yvelines (78))",Emploi permanent - vacance d'emploi,,,2.0,False,"[""Gestion informatisée et manuelle d'un fonds et d'une base documentaire"", 'Administration des bases de données (Filemaker/Arkothèque, Syrtis)', 'Catalogage et classement (bibliothéconomie)', 'Recherche documentaire et veille thématique', 'Connaissance du droit de la propriété intellectuelle et du patrimoine', 'Maîtrise des outils bureautiques et PAO', 'Techniques de conservation des documents']",2025-12-09
Administrateur de bases de données (h/f),Mairie de Boulogne-Billancourt,"Boulogne-Billancourt (Hauts-de-Seine, 92)",Emploi permanent - création d'emploi,,,2.0,False,"['Administration SGBD (Oracle, SQL Server, MySQL, PostgreSQL)', 'Administration systèmes Windows et Linux', 'Tomcat et PHP', 'Sauvegarde et restauration des bases de données', 'Haute disponibilité, réplication, clustering', ""Résolution d'incidents"", 'Travail en équipe et communication technique']",2025-12-03
